SCAN,ADDRESS,TIMESTAMP,UUID,MAJOR,MINOR,TX POWER,RSSI,SAFE_DISTANCE
62,DC:A6:32:2C:42:BC,2020-07-14 20:02:12.457769,22af6dee-c647-11ea-94f4-dca6322c42bb,1,1,1,-59,0
63,DC:A6:32:2C:42:BC,2020-07-14 20:02:13.120842,22af6dee-c647-11ea-94f4-dca6322c42bb,1,1,1,-63,0
64,DC:A6:32:2C:42:BC,2020-07-14 20:02:14.008406,22af6dee-c647-11ea-94f4-dca6322c42bb,1,1,1,-71,0
65,DC:A6:32:2C:42:BC,2020-07-14 20:02:15.062174,22af6dee-c647-11ea-94f4-dca6322c42bb,1,1,1,-57,0
66,DC:A6:32:2C:42:BC,2020-07-14 20:02:16.545867,22af6dee-c647-11ea-94f4-dca6322c42bb,1,1,1,-55,0
67,DC:A6:32:2C:42:BC,2020-07-14 20:02:17.244622,22af6dee-c647-11ea-94f4-dca6322c42bb,1,1,1,-50,0
68,DC:A6:32:2C:42:BC,2020-07-14 20:02:18.217141,22af6dee-c647-11ea-94f4-dca6322c42bb,1,1,1,-45,0
69,DC:A6:32:2C:42:BC,2020-07-14 20:02:19.387762,22af6dee-c647-11ea-94f4-dca6322c42bb,1,1,1,-49,0
70,DC:A6:32:2C:42:BC,2020-07-14 20:02:20.164530,22af6dee-c647-11ea-94f4-dca6322c42bb,1,1,1,-50,0
71,DC:A6:32:2C:42:BC,2020-07-14 20:02:21.392143,22af6dee-c647-11ea-94f4-dca6322c42bb,1,1,1,-51,0
72,DC:A6:32:2C:42:BC,2020-07-14 20:02:22.432107,22af6dee-c647-11ea-94f4-dca6322c42bb,1,1,1,-56,0
73,DC:A6:32:2C:42:BC,2020-07-14 20:02:23.467759,22af6dee-c647-11ea-94f4-dca6322c42bb,1,1,1,-56,0
74,DC:A6:32:2C:42:BC,2020-07-14 20:02:24.297719,22af6dee-c647-11ea-94f4-dca6322c42bb,1,1,1,-52,0
75,DC:A6:32:2C:42:BC,2020-07-14 20:02:25.156020,22af6dee-c647-11ea-94f4-dca6322c42bb,1,1,1,-55,0
76,DC:A6:32:2C:42:BC,2020-07-14 20:02:27.160941,22af6dee-c647-11ea-94f4-dca6322c42bb,1,1,1,-57,0
77,DC:A6:32:2C:42:BC,2020-07-14 20:02:29.165935,22af6dee-c647-11ea-94f4-dca6322c42bb,1,1,1,-52,0
